City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Salalah,OM,77.09,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
7,Canyon Lake,US,76.05,clear sky,29.8752,-98.2625,The Lodge At Turkey Cove
10,Kapaa,US,79.48,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
16,Butaritari,KI,82.2,clear sky,3.0707,172.7902,Isles Sunset Lodge
19,Manaus,BR,81.1,few clouds,-3.1019,-60.025,Manaus Hotéis Millennium
35,Bowen,AU,80.67,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
37,Noumea,NC,82.38,clear sky,-22.2763,166.4572,Hôtel Le Lagon
43,Guerrero Negro,MX,78.76,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
44,Vaini,TO,80.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
46,Hobyo,SO,79.03,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
48,Dubti,ET,82.04,few clouds,11.7361,41.0853,degu Shiferaw
51,Bacolod,PH,80.02,broken clouds,10.6667,122.95,Planta Hotel & Residences
57,Parintins,BR,81.3,broken clouds,-2.6283,-56.7358,Cama e Cafe
60,Carmelo,UY,83.19,overcast clouds,-33.9892,-58.2856,Los Muelles Boutique Hotel
64,Porto Franco,BR,80.13,broken clouds,-6.3383,-47.3992,Saint Louis Hotel
66,Rikitea,PF,75.69,light rain,-23.1203,-134.9692,People ThankYou
68,Sao Filipe,CV,78.89,overcast clouds,14.8961,-24.4956,Hotel Xaguate
72,Victoria,HK,77.32,broken clouds,22.2855,114.1577,Mini Hotel Central
74,Hilo,US,82.13,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
77,Dakar,SN,79.68,overcast clouds,14.6937,-17.4441,Redface Studios Meublés
81,Banda Aceh,ID,79.12,overcast clouds,5.5577,95.3222,Sulthan Hotel International
84,Hithadhoo,MV,83.17,overcast clouds,-0.6,73.0833,Scoop Guest House
86,Piacabucu,BR,76.39,broken clouds,-10.4056,-36.4344,Piaçabuçu News
93,San Cristobal,VE,75.38,broken clouds,7.7669,-72.225,Posada Villaven C.A.
98,Bhuj,IN,77.25,clear sky,23.2667,69.6667,Regenta Resort Bhuj
112,Cockburn Town,TC,82.65,clear sky,21.4612,-71.1419,Osprey Beach Hotel
114,Coruripe,BR,76.21,broken clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
117,Faanui,PF,78.73,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
118,Cornelio Procopio,BR,79.43,overcast clouds,-23.1811,-50.6467,Hotel Midas Cornélio Procópio
127,Bandarbeyla,SO,76.12,clear sky,9.4942,50.8122,JABIR HOTEL
128,San Quintin,MX,75.22,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
131,Alyangula,AU,84.97,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
143,Vila Velha,BR,76.95,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
154,Denpasar,ID,80.26,broken clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
156,Praia,CV,75.74,scattered clouds,14.9215,-23.5087,LT Aparthotel
158,Villa Maria,AR,81.82,clear sky,-32.4075,-63.2402,Hotel Milenium
163,Atuona,PF,78.66,clear sky,-9.8,-139.0333,Villa Enata
171,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
174,Port Hedland,AU,75.25,clear sky,-20.3167,118.5667,The Esplanade Hotel
179,Tual,ID,83.07,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
183,Nanakuli,US,83.71,broken clouds,21.3906,-158.1547,Camp Pālehua
191,Dingle,PH,77.43,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
196,Ciudad Dario,NI,79.57,scattered clouds,12.7314,-86.124,"Barrio Edén, Ciudad Darío"
199,Limbang,MY,77.11,overcast clouds,4.75,115.0,Purnama Hotel
200,Hambantota,LK,78.15,light rain,6.1241,81.1185,Bungalow 63
204,El Campo,US,76.68,clear sky,29.1966,-96.2697,"Lonestar Inn, El Campo Texas"
209,Pacific Grove,US,83.57,clear sky,36.6177,-121.9166,Lovers Point Inn
214,Bathsheba,BB,81.21,broken clouds,13.2167,-59.5167,Atlantis Hotel
215,Sur,OM,76.53,clear sky,22.5667,59.5289,Sur Plaza Hotel
217,Caravelas,BR,75.11,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
223,San Patricio,US,84.18,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
228,Brandon,US,79.86,overcast clouds,27.9378,-82.2859,Brandon Motor Lodge
230,Viedma,AR,76.37,broken clouds,-40.8135,-62.9967,Hotel Cristal
232,Itarema,BR,80.24,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
233,Itapage,BR,77.04,few clouds,-3.6867,-39.5861,Pousada Itajavé
237,Georgetown,MY,78.73,scattered clouds,5.4112,100.3354,Cititel Penang
238,Gwadar,PK,77.92,clear sky,25.1216,62.3254,Sadaf Resort
243,Harper,LR,77.94,light rain,4.375,-7.7169,Screensaver
247,Cayenne,GF,82.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
248,Anori,BR,77.67,overcast clouds,-3.7728,-61.6442,Novo Hotel 05 Irmaos
250,Bengkulu,ID,76.59,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
251,Bitung,ID,77.85,very heavy rain,1.4451,125.1824,K2 Lembeh
252,Mayumba,GA,76.41,broken clouds,-3.432,10.6554,LIKWALE LODGE
257,Oistins,BB,80.69,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
258,Wanning,CN,76.57,light rain,18.8003,110.3967,Paradise Hotel
264,Isangel,VU,81.09,scattered clouds,-19.55,169.2667,Tanna Lodge
266,Labuhan,ID,79.9,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
271,Ipixuna,BR,78.75,moderate rain,-1.7625,-48.8043,Casa da Oscarina
274,Cabedelo,BR,79.47,broken clouds,-6.9811,-34.8339,Hotel Pigalle
289,Mindelo,CV,76.55,few clouds,16.8901,-24.9804,Hotel Gaudi
293,Arlit,NE,83.75,few clouds,18.7369,7.3853,Case de Passage De la Prefecture
302,Ciudad Bolivar,VE,79.75,overcast clouds,8.1222,-63.5497,Hotel Edi
303,Suba,PH,83.14,overcast clouds,10.8438,121.0102,Jarnchi Pension House
306,Ormara,PK,78.73,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
308,Muncar,ID,78.62,overcast clouds,-8.4333,114.3333,Zaky Homestay
309,Olinda,BR,80.33,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
315,Panama City,PA,84.38,broken clouds,8.9936,-79.5197,Riande Urban Hotel
320,Waingapu,ID,82.78,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
322,Dennery,LC,82.49,haze,13.8996,-60.8879,The Fox Grove Inn
325,Bang Saphan,TH,76.95,broken clouds,11.2126,99.5117,Ladawan Boutique Hotel
327,Hervey Bay,AU,82.51,scattered clouds,-25.2986,152.8535,Shelly Bay Resort
328,Dzaoudzi,YT,78.69,clear sky,-12.7887,45.2699,Le Rocher
348,Alofi,NU,82.29,light rain,-19.0595,-169.9187,Taloa Heights
349,Ternate,ID,81.64,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
357,Kalmunai,LK,77.68,heavy intensity rain,7.4167,81.8167,VS Villa
359,Razole,IN,76.08,overcast clouds,16.4833,81.8333,Sterling Palavelli Godavari
367,Cabinda,AO,76.12,light rain,-5.55,12.2,Hotel Maiombe
368,Lazaro Cardenas,MX,82.83,clear sky,17.9583,-102.2,quinta antigua
370,Phangnga,TH,78.84,overcast clouds,8.4509,98.5298,Sunimit Mansion
373,Meulaboh,ID,77.99,overcast clouds,4.1363,96.1285,Kost Pria
376,Nortelandia,BR,83.14,broken clouds,-14.4547,-56.8028,Hotel Karysmã
379,Olavarria,AR,76.55,overcast clouds,-36.8927,-60.3225,Hotel Santa Rosa
382,Paracuru,BR,82.42,clear sky,-3.41,-39.0306,Hotel Vento Brasil
390,Male,MV,81.16,broken clouds,4.1748,73.5089,Hotel Octave Maldives
392,Bosaso,SO,78.89,clear sky,11.2842,49.1816,Red Sea Hotel
394,Mahajanga,MG,75.22,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
396,Nova Vicosa,BR,75.25,clear sky,-17.8919,-39.3719,Pousada Porto do Sol
399,Yanam,IN,78.58,overcast clouds,16.7333,82.2167,The Regency Hotel
416,Saint George,US,79.27,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
418,Bilma,NE,80.38,scattered clouds,18.6853,12.9164,Expeditions Ténére voyages
421,Keffi,NG,75.7,broken clouds,8.8486,7.8736,Imam Family
424,Atar,MR,80.1,overcast clouds,20.5169,-13.0499,Oumou Elghoura
425,Pangai,TO,80.71,few clouds,-19.8,-174.35,Ha'apai Beach Resort
427,Miri,MY,75.34,light rain,4.4148,114.0089,"Mega Hotel, Miri"
429,Port Blair,IN,80.56,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
430,Ewa Beach,US,83.7,broken clouds,21.3156,-158.0072,Uncle Junior Robert
432,Bundaberg,AU,82.69,scattered clouds,-24.85,152.35,Takalvan Motel
433,Natal,BR,80.82,clear sky,-5.795,-35.2094,Villa Park Hotel | Natal
437,Mogadishu,SO,79.05,broken clouds,2.0371,45.3438,Hotel Juba
438,South Venice,US,80.98,haze,27.0531,-82.4243,"Island Sun Inn & Suites - Venice, Florida Historic Downtown & Beach Getaway"
441,Buenos Aires,AR,83.03,clear sky,-34.6132,-58.3772,Hotel NH Buenos Aires City
442,Acarau,BR,80.31,few clouds,-2.8856,-40.12,castelo pizzaria
446,Baghdad,IQ,78.71,clear sky,33.3406,44.4009,Baghdad Hotel
449,Flinders,AU,83.05,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
450,Santa Cruz,BO,80.1,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
457,Boyolangu,ID,77.5,moderate rain,-8.1181,111.8935,Yos ega cv
464,Byron Bay,AU,80.71,overcast clouds,-28.65,153.6167,Backpackers Inn on the Beach
473,Touros,BR,79.7,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
478,Marsh Harbour,BS,81.95,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
481,Bima,ID,82.42,broken clouds,-8.4667,118.7167,Lambitu Hotel
485,Neuquen,AR,82.29,few clouds,-38.9516,-68.0591,Hotel del Comahue
491,Lorengau,PG,84.85,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
493,Atambua,ID,80.31,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
495,Ugoofaaru,MV,80.98,overcast clouds,5.6667,73.0,Ungoofaaru Inn
497,Almeirim,BR,80.26,scattered clouds,-1.5233,-52.5817,Ricácio Hotel
498,Pilar,BR,80.53,overcast clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
500,Primero De Enero,CU,84.06,overcast clouds,21.9469,-78.4283,Motel Dos Palmas (Maria Machete)
502,Ulladulla,AU,82.87,clear sky,-35.35,150.4667,Sandpiper Motel
510,Manta,EC,76.78,scattered clouds,-0.95,-80.7333,Balandra Hotel
512,Saint-Paul,RE,75.31,light rain,-21.0096,55.2707,Boucan Canot
514,Oriximina,BR,82.4,scattered clouds,-1.7656,-55.8661,Pousada Tia Amélia
515,San Ramon,US,79.21,clear sky,37.7799,-121.978,San Ramon Marriott
516,Padang,ID,78.21,overcast clouds,-0.9492,100.3543,Mercure Padang
531,Veraval,IN,78.4,scattered clouds,20.9,70.3667,Lords Inn Somnath
547,Vilhena,BR,77.22,few clouds,-12.7406,-60.1458,Hotel Mirage
549,Nazareno,MX,79.11,clear sky,25.3833,-103.4167,Palmas Suite
552,Santa Cruz Cabralia,BR,75.43,scattered clouds,-16.2781,-39.0247,Puerto Princesa Inn
556,Takoradi,GH,78.37,scattered clouds,4.8845,-1.7554,Raybow International Hotel
557,Madang,PG,80.31,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
558,Chaah,MY,75.83,overcast clouds,2.249,103.048,Chaah Homestay
561,Vanimo,PG,80.56,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
568,Gigmoto,PH,80.4,scattered clouds,13.7796,124.39,Cj's Travellers Inn
569,Jaguaruana,BR,84.29,scattered clouds,-4.8339,-37.7811,Pousada Popular
572,Ostuacan,MX,75.65,broken clouds,17.4167,-93.3,HACIENDA JUAREZ
576,Ilaya,PH,80.89,few clouds,5.8153,125.2267,Neilanne private resort
580,Porto Novo,BJ,77.76,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
582,Angoche,MZ,75.13,light rain,-16.2325,39.9086,Guest House HESADA
584,Daru,PG,82.56,overcast clouds,-9.0763,143.2092,Daru Lodge
587,Port-Gentil,GA,78.85,light rain,-0.7193,8.7815,Fengshui Residence
592,Tres Arroyos,AR,79.61,broken clouds,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
593,Tsevie,TG,75.88,scattered clouds,6.4261,1.2133,Hotel Melissa
597,Fare,PF,79.18,moderate rain,-16.7,-151.0167,Maitai Lapita Village Huahine
598,Sorong,ID,81.72,overcast clouds,-0.8833,131.25,waigo splash hotel
599,Matara,LK,75.0,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
602,Aquiraz,BR,82.49,clear sky,-3.9014,-38.3911,Pousada Rua Camurupim
607,Pizarro,CO,79.16,light rain,4.9533,-77.366,Hotel Limonar
611,Biltine,TD,81.36,broken clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
615,Kulhudhuffushi,MV,80.69,broken clouds,6.6221,73.07,Haajy Guest House 1
626,Monte Patria,CL,76.53,broken clouds,-30.6919,-70.9467,Hotel Monte Cordillera
633,Seybaplaya,MX,81.86,overcast clouds,19.65,-90.6667,sala de fiesta san Rafael
643,Presidente Medici,BR,76.33,light rain,-11.1753,-61.9014,Oliveira Palace Hotel
646,Tabou,CI,78.08,overcast clouds,4.423,-7.3528,hotêl doufoulougou
649,Caramay,PH,78.82,light rain,10.1815,119.236,Peace and Love Beach Club
656,Samut Sakhon,TH,80.02,overcast clouds,13.5833,100.3,Taweesuk Residence
657,Half Moon Bay,US,80.78,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
658,Boa Vista,BR,82.38,few clouds,2.8197,-60.6733,Aipana Plaza Hotel
659,San Policarpo,PH,80.42,overcast clouds,12.1791,125.5072,Agapita M. Nicart
662,Mana,GF,78.82,light rain,5.6592,-53.7767,LE SAMANA
663,Nouakchott,MR,80.53,overcast clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
664,Kloulklubed,PW,84.7,broken clouds,7.0419,134.2556,Storyboard Beach Resort
668,Soyo,AO,76.66,few clouds,-6.1349,12.3689,Hotel Mpampa
681,Presidencia Roque Saenz Pena,AR,82.83,clear sky,-26.7852,-60.4388,Hotel Aconcagua
685,San Jose,US,81.09,clear sky,37.3394,-121.895,The Westin San Jose
686,Lufilufi,WS,83.98,broken clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
