City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Salalah,OM,2021-10-28 23:14:07,17.0151,54.0924,77.09,78,20,4.61,few clouds
1,Hermanus,ZA,2021-10-28 23:11:38,-34.4187,19.2345,60.91,89,15,9.06,few clouds
2,Kjollefjord,NO,2021-10-28 23:14:08,70.9457,27.3465,35.02,86,100,16.28,overcast clouds
3,Iberia,US,2021-10-28 23:14:08,29.9502,-91.7507,70.05,37,75,23.96,broken clouds
4,Jamestown,US,2021-10-28 23:13:56,42.097,-79.2353,58.64,67,1,11.5,clear sky
5,Sainte-Thecle,CA,2021-10-28 23:14:08,46.8168,-72.4991,43.12,83,0,2.66,clear sky
6,Conil,FR,2021-10-28 23:14:09,44.9673,3.7177,47.68,83,35,13.69,scattered clouds
7,Canyon Lake,US,2021-10-28 23:14:09,29.8752,-98.2625,76.05,28,0,4.0,clear sky
8,Shieli,KZ,2021-10-28 23:14:09,44.1667,66.75,46.11,58,100,6.82,overcast clouds
9,Katastarion,GR,2021-10-28 23:14:10,37.8333,20.7667,49.89,64,6,13.76,clear sky
10,Kapaa,US,2021-10-28 23:13:41,22.0752,-159.319,79.48,82,20,4.0,light rain
11,Ribeira Grande,PT,2021-10-28 23:14:10,38.5167,-28.7,70.48,90,92,27.83,overcast clouds
12,Yeniseysk,RU,2021-10-28 23:14:11,58.4497,92.1703,30.76,65,100,8.55,overcast clouds
13,Abha,SA,2021-10-28 23:14:11,18.2164,42.5053,55.65,54,0,0.0,clear sky
14,Bakchar,RU,2021-10-28 23:14:11,57.0186,82.0711,34.52,53,100,13.47,overcast clouds
15,Fallon,US,2021-10-28 23:14:12,39.4735,-118.7774,69.42,48,1,5.75,clear sky
16,Butaritari,KI,2021-10-28 23:14:12,3.0707,172.7902,82.2,69,8,12.03,clear sky
17,Mataura,NZ,2021-10-28 23:11:47,-46.1927,168.8643,67.23,55,30,1.01,scattered clouds
18,Yellowknife,CA,2021-10-28 23:14:13,62.456,-114.3525,33.42,99,100,5.01,light snow
19,Manaus,BR,2021-10-28 23:14:12,-3.1019,-60.025,81.1,89,20,2.3,few clouds
20,Nanortalik,GL,2021-10-28 23:14:13,60.1432,-45.2371,35.83,75,91,3.18,overcast clouds
21,Craig,US,2021-10-28 23:14:13,40.5153,-107.5464,50.99,57,90,8.05,overcast clouds
22,Punta Arenas,CL,2021-10-28 23:13:46,-53.15,-70.9167,59.11,58,90,13.8,overcast clouds
23,Hobart,AU,2021-10-28 23:11:37,-42.8794,147.3294,46.26,95,90,5.99,moderate rain
